,HR,T,CO2,Ti_f,HR_f,CO2_f
2025-02-11 17:06:00,36.6043,31.1044,495.888,30.3,38.8,497.0
2025-02-11 17:07:00,36.5616,31.0616,496.4347,30.2,38.8,495.0
2025-02-11 17:08:00,36.6165,31.0777,496.3332,30.2,38.9,501.0
2025-02-11 17:09:00,36.5768,31.0777,498.6696,30.2,38.9,492.0
2025-02-11 17:10:00,36.6074,31.1204,500.3498,30.3,38.8,481.0
2025-02-11 17:11:00,36.5662,31.1044,501.5413,30.3,38.9,488.0
2025-02-11 17:12:00,36.6043,31.1044,503.3967,30.2,38.9,489.0
2025-02-11 17:13:00,36.6348,31.1204,504.9297,30.3,38.9,482.0
2025-02-11 17:14:00,36.6211,31.1204,507.4615,30.2,39.0,493.0
2025-02-11 17:15:00,36.6074,31.1204,508.6774,30.2,39.0,482.0
2025-02-11 17:16:00,36.676,31.1044,505.5769,30.2,38.9,485.0
2025-02-11 17:17:00,36.6623,31.1044,506.5697,30.2,39.0,484.0
2025-02-11 17:18:00,36.6501,31.1204,506.2702,30.3,39.0,486.0
2025-02-11 17:19:00,36.6638,31.1337,504.2903,30.2,39.0,485.0
2025-02-11 17:20:00,36.6501,31.1337,502.1084,30.2,39.0,482.0
2025-02-11 17:21:00,36.6623,31.1044,500.6852,30.3,39.0,484.0
2025-02-11 17:22:00,36.6913,31.1204,499.7664,30.3,39.0,484.0
2025-02-11 17:23:00,36.7172,31.1044,498.7495,30.3,39.0,486.0
2025-02-11 17:24:00,36.7599,31.1204,497.7084,30.3,39.0,487.0
2025-02-11 17:25:00,36.7355,31.1471,499.7138,30.3,39.0,489.0
