timestamp,CO2,T,HR
2025-02-11 11:39:12,542.4302,29.5769,36.3708
2025-02-11 11:40:12,538.1385,29.5903,36.6638
2025-02-11 11:41:12,536.2954,29.6063,36.348
2025-02-11 11:42:12,543.0568,29.633,37.1521
2025-02-11 11:43:12,598.833,29.633,37.4146
2025-02-11 11:44:12,608.8232,29.633,37.3032
2025-02-11 11:45:12,615.3641,29.6464,37.4313
2025-02-11 11:46:12,605.2564,29.6464,35.936
2025-02-11 11:47:12,495.2083,29.633,36.142
2025-02-11 11:48:12,498.112,29.6063,36.7905
2025-02-11 11:49:12,543.1711,29.633,36.7645
2025-02-11 11:50:12,539.3549,29.633,36.9293
2025-02-11 11:51:12,538.1493,29.6197,36.113
2025-02-11 11:52:12,528.2879,29.6063,36.5952
2025-02-11 11:53:12,540.4857,29.6464,36.8637
2025-02-11 11:54:12,533.2252,29.6197,35.5881
2025-02-11 11:55:12,524.5304,29.6197,36.264
2025-02-11 11:56:12,532.5981,29.633,36.6272
2025-02-11 11:57:12,547.3679,29.6197,36.763
2025-02-11 11:58:12,561.3057,29.6063,36.6943
2025-02-11 11:59:12,560.3217,29.633,36.557
2025-02-11 12:00:12,558.6371,29.6197,36.4197
2025-02-11 12:01:12,555.462,29.6063,36.3602
2025-02-11 12:02:12,553.7315,29.6197,36.3892
2025-02-11 12:03:13,546.6483,29.633,36.4059
2025-02-11 12:04:13,549.0697,29.6624,36.5067
2025-02-11 12:05:13,531.209,29.6891,35.4691
2025-02-11 12:06:13,519.5431,29.6757,35.994
2025-02-11 12:07:13,527.9766,29.6891,36.0916
2025-02-11 12:08:13,535.1139,29.7185,36.3846
2025-02-11 12:09:13,546.5349,29.6891,36.3831
2025-02-11 12:10:13,561.3299,29.7185,36.467
2025-02-11 12:11:13,565.7338,29.7318,36.4288
2025-02-11 12:12:13,566.009,29.7452,36.499
2025-02-11 12:13:13,563.8058,29.7318,36.47
2025-02-11 12:14:13,559.5659,29.6891,36.4105
2025-02-11 12:15:13,557.8673,29.7318,36.4441
2025-02-11 12:16:13,555.0613,29.7024,36.3983
2025-02-11 12:17:13,553.8146,29.6891,36.4655
2025-02-11 12:18:13,549.5403,29.6891,36.4258
2025-02-11 12:19:13,545.5078,29.7185,36.3159
2025-02-11 12:20:13,542.3839,29.7318,36.3327
2025-02-11 12:21:13,538.7725,29.7185,36.1923
2025-02-11 12:22:13,537.0488,29.7612,36.3205
2025-02-11 12:23:13,539.2523,29.7612,36.4471
2025-02-11 12:24:13,545.6503,29.7746,36.4471
2025-02-11 12:25:13,550.7255,29.8039,36.4349
2025-02-11 12:26:13,550.5593,29.8199,36.467
2025-02-11 12:27:13,551.8053,29.8039,36.4761
2025-02-11 12:28:13,557.6696,29.7879,36.5173
2025-02-11 12:29:13,555.5897,29.8333,36.1877
2025-02-11 12:30:13,549.7461,29.8199,36.4792
2025-02-11 12:31:13,555.4332,29.8333,36.5768
2025-02-11 12:32:13,559.6778,29.8199,36.5753
2025-02-11 12:33:13,564.4366,29.8466,36.5387
